Region,Task,Information,Requirements,Pts
Misthalin,Upgrade a piece of Death Skull or Deathwarden equipment to tier 20.,Upgrade a piece of death skull or deathwarden equipment to tier 20.,"20 Necromancy , 15 Smithing (death skull) OR 15 Crafting (Deathwarden)",10
Misthalin,Craft some spirit or bone runes.,Craft some spirit or bone runes .,N/A,10
Misthalin,Complete a Lesser Necroplasm ritual.,Complete a Lesser Necroplasm ritual .,5 Necromancy,10
Misthalin,Conjure a skeleton at the City of Um ritual site.,Conjure a Skeleton Warrior at the Um ritual site .,2 Necromancy Conjure Skeleton Warrior unlocked at the Well of Souls,10
Misthalin,Conjure a zombie at the City of Um ritual site.,Conjure a Putrid Zombie at the Um ritual site .,40 Necromancy Conjure Putrid Zombie unlocked at the Well of Souls,10
Misthalin,Conjure a ghost at the City of Um ritual site.,Conjure a Vengeful Ghost at the Um ritual site .,40 Necromancy Conjure Vengeful Ghost unlocked at the Well of Souls,10
Misthalin,Kill a dark wizard.,Kill a dark wizard .,N/A,10
Misthalin,Enter the Earth Altar using an earth tiara or talisman.,Enter the earth altar using an earth tiara or talisman .,N/A,10
Misthalin,Have Elsie tell you a story.,"Have Elsie tell you a story, she is found upstairs in the church in Varrock. You must give her a cup of tea",A cup of tea,10
Misthalin,Give a bone to one of Varrock's stray dogs (or to your pet stray dog if you have one).,Use some bones on one of Varrock's stray dogs (or to your pet stray dog if you have one).,N/A,10
Misthalin,Claim a free clue scroll from Zaida at the Grand Exchange.,Claim a free clue scroll from Zaida at the Grand Exchange.,N/A,10
Misthalin,Give Bill a beer in Fort Forinthry.,Give Bill a beer in Fort Forinthry.,"A beer , partial completion of New Foundations",10
Misthalin,Complete the Archaeology tutorial.,Complete the Archaeology tutorial .,N/A,10
Misthalin,Make a plank yourself on the sawmill in Fort Forinthry.,Make a plank yourself on the sawmill in Fort Forinthry. Must be a regular plank made from logs,Partial completion of New Foundations,10
Misthalin,Mine some iron ore in the mining spot south-west of Varrock.,Mine some iron ore in the mining spot south-west of Varrock.,10 Mining,10
Misthalin,Steal from the Varrock tea stall.,Steal from the Varrock tea stall .,5 Thieving,10
Misthalin,Pan for an uncut jade at the Digsite.,Pan for an uncut jade at the Digsite .,N/A,10
Misthalin,Harvest a memory from a pale wisp.,Harvest a pale memory from a pale wisp .,N/A,10
Misthalin,Harvest 10 memories from a pale wisp.,Harvest 10 pale memories from a pale wisp .,N/A,10
Morytania,Complete an easy Temple Trek.,Complete an easy Temple Trek .,N/A,10
Morytania,Craft a snelm.,Craft a snelm .,15 Crafting Any blamish shell,10
Morytania,Defeat a werewolf in Morytania.,Defeat a werewolf in Morytania.,N/A,10
Morytania,Pass through the holy barrier.,Pass through the holy barrier under the Paterdomus (enter through the mausoleum). You must defeat the ghoul before you can pass.,Defeat a Ghoul (Paterdomus),10
Morytania,Enter through the western gate of Port Phasmatys.,Pass through the western gate of Port Phasmatys .,N/A,10
Morytania,Kill anything on the ground floor of the Slayer Tower.,Kill anything on the ground floor of the Slayer Tower . Crawling hands have the lowest Slayer level requirement.,N/A,10
Morytania,"Using either a silver sickle or the Invandis flail, grow some fungus in the swamp using Bloom.","Using either a silver sickle or the Ivandis flail , grow some fungus in the swamp using Bloom .",N/A,10
Morytania,Defeat 5 feral vampyres in the Haunted Woods.,Defeat 5 feral vampyres in the Haunted Woods.,N/A,10
Morytania,Use an ectophial to return to Port Phasmatys.,Use an ectophial to return to Port Phasmatys .,N/A,10
Morytania,Visit Dragontooth Island by boat.,Visit Dragontooth Island by boat.,Ghostspeak amulet,10
Tirannwn,Cook a rabbit in Tirannwn.,Cook a raw rabbit in Tirannwn . Cook on a fire - do not use iron spit.,N/A,10
Tirannwn,Attempt to pass a leaf trap.,Attempt to pass a leaf trap .,N/A,10
Tirannwn,Use the bank in Lletya.,Use the bank in Lletya .,N/A,10
Tirannwn,Charter a ship from Port Tyras.,Charter a ship from Port Tyras .,N/A,10
Tirannwn,Climb the Tower of Voices.,Climb the Tower of Voices .,N/A,10
Tirannwn,Burn some logs using the everlasting bonfire in the Tower of Voices.,Burn some logs using the everlasting bonfire in the Tower of Voices .,N/A,10
Tirannwn,Activate the Prifddinas lodestone.,Activate the Prifddinas lodestone .,N/A,10
Tirannwn,Activate the Tirannwn lodestone.,Activate the Tirannwn lodestone .,N/A,10
Tirannwn,Restore your prayer using the altar in Lletya.,Restore your prayer using the altar in Lletya .,N/A,10
Wilderness,Use the bank at the Mage Arena.,Use the Mage Arena bank .,N/A,10
Wilderness,Defeat the Chaos Elemental.,Defeat the Chaos Elemental once.,N/A,10
Wilderness,Defeat the Chaos Elemental 25 times.,Defeat the Chaos Elemental 25 times.,N/A,10
Wilderness,Reach a score of 10 using the strange switches in the Wilderness.,Complete the Ten-uous Link achievement.,N/A,10
Wilderness,Jump over the Wilderness wall.,Jump over the Wilderness wall .,N/A,10
Wilderness,Activate the Wilderness lodestone.,Activate the Wilderness Crater lodestone .,N/A,10
Wilderness,Complete a frozen floor in Daemonheim.,Complete a Frozen floor in Daemonheim .,N/A,10
Wilderness,"Make use of either an autoheater, gem bag, herbicide, bonecrusher or charming imp.","Make use of either an autoheater , gem bag , herbicide , bonecrusher or charming imp .",The gem bag is the cheapest reward at 2000 dungeoneering tokens,10
Wilderness,Enter the chaos tunnels from an entrance in the Wilderness.,Enter the Chaos Tunnels from an entrance in the Wilderness.,N/A,10
Wilderness,Defeat a black unicorn in the Wilderness.,Defeat a black unicorn in the Wilderness.,N/A,10
Anachronia,Build your player lodge on Anachronia.,Build your Player Lodge on Anachronia.,40 Construction,30
Anachronia,Purchase the herb bag and the herb bag upgrade from the Herby Werby reward shop.,Purchase the herb bag and the herb bag upgrade from the Herby Werby Reward Shop .,"None, but requires 4 weeks worth of potent herbs",30
Anachronia,Give Snoop some clean dwarf weed.,Give Snoop some clean dwarf weed .,70 Herblore if cleaning the herb yourself,30
Anachronia,Harvest produce from 5 animals on Anachronia farm.,Harvest produce from 5 animals on Anachronia Dinosaur Farm .,"42 Farming , 45 Construction",30
Anachronia,Complete the beginner sections of the Anachronia agility course.,Complete the beginner sections of the Anachronia Agility Course .,30 Agility,30
Anachronia,Complete the novice sections of the Anachronia agility course.,Complete the novice sections of the Anachronia Agility Course .,50 Agility,30
Asgarnia,Reach world 25 in Shattered Worlds.,Reach world 25 in Shattered Worlds .,N/A,30
Asgarnia,Enter the Warriors' Guild.,Enter the Warriors' Guild .,"Combined Attack and Strength level of 130, or 99 Attack , or 99 Strength",30
Asgarnia,Equip a defender.,Equip a defender.,"Combined Attack and Strength level of 130, or 99 Attack , or 99 Strength",30
Asgarnia,Charge an amulet of glory in the Heroes' Guild.,Charge an amulet of glory in the Heroes' Guild .,"If not as a drop from revenant knights , 80 Crafting and 68 Magic to make it from scratch, or 83 Hunter to catch dragon implings",30
Asgarnia,Enter the Crafting Guild.,Enter the Crafting Guild .,40 Crafting,30
Asgarnia,Complete the Easy Falador Diary.,Complete the Easy Falador achievements .,See Easy Falador achievements page,30
Asgarnia,Complete the Medium Falador Diary.,Complete the Medium Falador achievements .,See Medium Falador achievements page,30
Asgarnia,Kill the Giant Mole.,Kill the giant mole .,N/A,30
Asgarnia,Kill the Giant Mole 25 times.,Kill the giant mole 25 times.,N/A,30
Asgarnia,Use the Telekinetic Grab spell to steal some wine of Zamorak from the captured temple south of Goblin Village.,Use the Telekinetic Grab spell to steal some wine of Zamorak from the captured temple south of Goblin Village .,33 Magic,30
Asgarnia,Set up a dwarf multicannon.,Set up a dwarf multicannon .,N/A,30
Asgarnia,Complete a ceremonial sword at the Artisans' Workshop.,Complete a ceremonial sword at the Artisans' Workshop .,N/A,30
Asgarnia,Mine some orichalcite in the Mining Guild.,Mine some orichalcite ore in the Mining Guild .,60 Mining,30
Asgarnia,Harvest a herb from the Troll Stronghold herb patch.,Harvest a herb from the troll stronghold herb patch .,9 Farming to plant the lowest Herb seed.,30
Asgarnia,Kill a blue dragon in Taverley dungeon.,Kill a blue dragon in Taverley Dungeon .,Dusty key or 70 Agility,30
Asgarnia,Open the crystal chest in Taverley.,Open the crystal chest in Taverley.,A crystal key,30
Desert,Clear the Fort debris at the Kharid-et Dig Site.,Clear the fort debris at the Kharid-et Dig Site .,12 Archaeology,30
